student_id,weekly_self_study_hours,attendance_percentage,class_participation,total_score,grade,performance_category
4666,13.9,85,10,84.1,B,Good
251,6.2,83.9,3.5,74.7,B,Average
3389,21,74.4,6.9,100,A,Excellent
7315,7.2,70.7,9.3,79.3,B,Good
1838,15.8,90.9,3.8,100,A,Excellent
7455,7.6,93.8,4.7,59.7,C,Poor
6633,12.2,88.7,2.5,85.1,A,Good
7304,17.4,83.7,7.6,80,B,Good
4847,0,81.7,9.8,48.4,D,Poor
3416,14,89.9,5.6,74.4,B,Average
5628,21.7,82.7,7.1,100,A,Excellent
5749,14.9,83.6,2.2,89.6,A,Good
8720,9.4,67,5.8,65.2,C,Average
6207,12.2,74.6,4.8,97.6,A,Excellent
8605,19.3,76.8,5.9,93.5,A,Excellent
4119,11.8,100,7.8,83.5,B,Good
2289,10.8,86.1,4.9,85.5,A,Good
8672,26,87.2,7.6,100,A,Excellent
5256,7.1,83.5,2.8,77,B,Good
5631,9.8,87.8,7.6,75.2,B,Good
5303,21,99,6.5,100,A,Excellent
5566,19.8,99.9,8,100,A,Excellent
4784,8.2,81.4,5.8,72.8,B,Average
2733,18.9,78.2,5.6,100,A,Excellent
5752,6.4,91.2,6.6,74.8,B,Average
1007,21.3,83.7,4.1,100,A,Excellent
2544,12.8,79.3,5.8,90.3,A,Excellent
4026,12.8,88,5.8,62.7,C,Average
6104,17.4,100,3.4,85.8,A,Good
3811,8,89,4.5,77.8,B,Good
5112,32.8,91.8,6.1,100,A,Excellent
4158,11.7,97.8,4.2,77.7,B,Good
2529,29.4,79.5,7.1,100,A,Excellent
7447,20.4,86.5,5.8,96.8,A,Excellent
3457,22.6,96.4,3.4,97.3,A,Excellent
2955,8.4,75,3.1,73.5,B,Average
5539,6.4,76.1,10,64.5,C,Average
187,9.9,62.05,5.2,70.01,C,Average
4439,12.6,84.2,8.5,64.4,C,Average
3085,13.7,68.6,6.1,89.7,A,Good
8539,17.3,84.9,5.3,85.4,A,Good
7636,12.1,100,8.5,72.1,B,Average
154,2.16,92.59,4.11,41.92,D,Poor
7332,20.1,61.4,6.6,86.5,A,Good
5713,21,91,8.6,96.2,A,Excellent
8647,0,100,7.9,37.2,F,Poor
8420,11.4,79.3,6.8,83.8,B,Good
7502,15.9,87.4,2.7,89.5,A,Good
9104,24.6,75.6,6.7,100,A,Excellent
3846,20.8,74.6,3.9,96.2,A,Excellent
1581,16.4,94.6,8.1,94.9,A,Excellent
2884,18.2,81.8,4.5,96,A,Excellent
2485,11.2,100,8.1,81.2,B,Good
7643,11.9,94.4,4.9,73.5,B,Average
6289,25.1,85.5,5.3,100,A,Excellent
8453,8.8,65.9,4.3,75.8,B,Good
1175,9.7,80.8,5.7,82.4,B,Good
9159,24.8,100,4.1,100,A,Excellent
1259,10.1,72.3,8.1,75,B,Good
8142,9.9,100,6.6,70,B,Average
4340,12.8,80.6,6.9,83.6,B,Good
6549,17.7,100,5.2,100,A,Excellent
8993,13.9,97.8,7.5,95.1,A,Excellent
4545,17.6,100,3,92.2,A,Excellent
4051,9.8,87.1,4.6,70.7,B,Average
1933,11.7,87,5,60.1,C,Average
7942,17,79.7,6.4,94,A,Excellent
2322,20.5,85.9,6.5,100,A,Excellent
1091,14.5,83.3,7.7,99.4,A,Excellent
1303,13.8,81.3,7.9,74.1,B,Average
2558,15,100,6.9,98,A,Excellent
9124,15.1,74.8,3.8,76.2,B,Good
4355,17.8,84.5,5.3,100,A,Excellent
3617,8.1,84.2,4.4,58.8,C,Poor
8994,2.3,88.5,5.3,59.1,C,Poor
7,7.92,79.72,5.3,71.21,C,Average
